date,octree,npoints,operation,kernel,radius,num_searches,repeats,accumulated,mean,median,stdev,used_warmup
2024-12-04-23:45:03,pointer <Lpoint> unsorted,17747769,neighSearch,Sphere,2.5,1000,5,0.0758636,0.0151727,0.0161741,0.00180012,1
2024-12-04-23:45:03,pointer <Lpoint> unsorted,17747769,neighSearch,Circle,2.5,1000,5,0.112065,0.022413,0.0223767,0.00141852,1
2024-12-04-23:45:03,pointer <Lpoint> unsorted,17747769,neighSearch,Cube,2.5,1000,5,0.0582089,0.0116418,0.0112701,0.000863009,1
2024-12-04-23:45:03,pointer <Lpoint> unsorted,17747769,neighSearch,Square,2.5,1000,5,0.115546,0.0231093,0.0230858,0.00080515,1
2024-12-04-23:45:04,pointer <Lpoint> unsorted,17747769,neighSearch,Sphere,5,1000,5,0.203085,0.0406169,0.0401664,0.00174462,1
2024-12-04-23:45:04,pointer <Lpoint> unsorted,17747769,neighSearch,Circle,5,1000,5,0.297888,0.0595777,0.0604136,0.0031389,1
2024-12-04-23:45:04,pointer <Lpoint> unsorted,17747769,neighSearch,Cube,5,1000,5,0.20215,0.04043,0.0407073,0.0007495,1
2024-12-04-23:45:05,pointer <Lpoint> unsorted,17747769,neighSearch,Square,5,1000,5,0.325748,0.0651497,0.0652052,0.000140881,1
2024-12-04-23:45:05,pointer <Lpoint> unsorted,17747769,neighSearch,Sphere,7.5,1000,5,0.43306,0.086612,0.0859932,0.00157332,1
2024-12-04-23:45:06,pointer <Lpoint> unsorted,17747769,neighSearch,Circle,7.5,1000,5,0.588878,0.117776,0.118356,0.00209106,1
2024-12-04-23:45:06,pointer <Lpoint> unsorted,17747769,neighSearch,Cube,7.5,1000,5,0.435995,0.087199,0.0865141,0.00306033,1
2024-12-04-23:45:07,pointer <Lpoint> unsorted,17747769,neighSearch,Square,7.5,1000,5,0.700849,0.14017,0.12773,0.0184827,1
2024-12-04-23:45:08,pointer <Lpoint> unsorted,17747769,neighSearch,Sphere,10,1000,5,0.674658,0.134932,0.139529,0.00839734,1
2024-12-04-23:45:09,pointer <Lpoint> unsorted,17747769,neighSearch,Circle,10,1000,5,0.756967,0.151393,0.149704,0.00353118,1
2024-12-04-23:45:10,pointer <Lpoint> unsorted,17747769,neighSearch,Cube,10,1000,5,0.596242,0.119248,0.115943,0.0101446,1
2024-12-04-23:45:11,pointer <Lpoint> unsorted,17747769,neighSearch,Square,10,1000,5,0.755677,0.151135,0.156151,0.0079413,1
2024-12-04-23:45:11,pointer <Lpoint> unsorted,17747769,numNeighSearch,Sphere,2.5,1000,5,0.0457642,0.00915284,0.00917894,6.08953e-05,1
2024-12-04-23:45:11,pointer <Lpoint> unsorted,17747769,numNeighSearch,Circle,2.5,1000,5,0.0723889,0.0144778,0.0140732,0.000824701,1
2024-12-04-23:45:11,pointer <Lpoint> unsorted,17747769,numNeighSearch,Cube,2.5,1000,5,0.0463666,0.00927331,0.009306,8.81583e-05,1
2024-12-04-23:45:11,pointer <Lpoint> unsorted,17747769,numNeighSearch,Square,2.5,1000,5,0.0749908,0.0149982,0.0147976,0.00153266,1
2024-12-04-23:45:11,pointer <Lpoint> unsorted,17747769,numNeighSearch,Sphere,5,1000,5,0.131126,0.0262251,0.027015,0.00129848,1
2024-12-04-23:45:11,pointer <Lpoint> unsorted,17747769,numNeighSearch,Circle,5,1000,5,0.189143,0.0378286,0.0374822,0.00091945,1
2024-12-04-23:45:11,pointer <Lpoint> unsorted,17747769,numNeighSearch,Cube,5,1000,5,0.137039,0.0274077,0.0261276,0.00242189,1
