date,octree,npoints,operation,kernel,radius,num_searches,repeats,accumulated,mean,median,stdev,used_warmup
2024-12-04-21:11:33,pointer <Lpoint> unsorted,10000000,neighSearch,Sphere,0.5,1000,5,0.0956967,0.0191393,0.0191905,0.00204461,1
2024-12-04-21:11:33,pointer <Lpoint> unsorted,10000000,neighSearch,Circle,0.5,1000,5,0.228213,0.0456426,0.0450314,0.00175498,1
2024-12-04-21:11:33,pointer <Lpoint> unsorted,10000000,neighSearch,Cube,0.5,1000,5,0.113204,0.0226409,0.0227983,0.00104434,1
2024-12-04-21:11:34,pointer <Lpoint> unsorted,10000000,neighSearch,Square,0.5,1000,5,0.228007,0.0456013,0.0460303,0.000933514,1
2024-12-04-21:11:34,pointer <Lpoint> unsorted,10000000,neighSearch,Sphere,1,1000,5,0.327293,0.0654587,0.0677493,0.00802834,1
2024-12-04-21:11:35,pointer <Lpoint> unsorted,10000000,neighSearch,Circle,1,1000,5,0.517715,0.103543,0.101889,0.00497828,1
2024-12-04-21:11:35,pointer <Lpoint> unsorted,10000000,neighSearch,Cube,1,1000,5,0.375836,0.0751673,0.0728181,0.00543235,1
2024-12-04-21:11:36,pointer <Lpoint> unsorted,10000000,neighSearch,Square,1,1000,5,0.480433,0.0960866,0.0979598,0.00444633,1
2024-12-04-21:11:37,pointer <Lpoint> unsorted,10000000,neighSearch,Sphere,2.5,1000,5,1.52122,0.304244,0.300526,0.0102183,1
2024-12-04-21:11:39,pointer <Lpoint> unsorted,10000000,neighSearch,Circle,2.5,1000,5,1.4435,0.2887,0.285682,0.00935037,1
2024-12-04-21:11:41,pointer <Lpoint> unsorted,10000000,neighSearch,Cube,2.5,1000,5,1.44013,0.288027,0.290057,0.01711,1
2024-12-04-21:11:43,pointer <Lpoint> unsorted,10000000,neighSearch,Square,2.5,1000,5,1.66248,0.332496,0.333155,0.0119262,1
2024-12-04-21:11:48,pointer <Lpoint> unsorted,10000000,neighSearch,Sphere,5,1000,5,4.57265,0.91453,0.883392,0.0454271,1
2024-12-04-21:11:54,pointer <Lpoint> unsorted,10000000,neighSearch,Circle,5,1000,5,4.63099,0.926197,0.929386,0.00818043,1
2024-12-04-21:12:00,pointer <Lpoint> unsorted,10000000,neighSearch,Cube,5,1000,5,4.57813,0.915626,0.920982,0.0289851,1
2024-12-04-21:12:05,pointer <Lpoint> unsorted,10000000,neighSearch,Square,5,1000,5,4.58288,0.916575,0.919252,0.0344367,1
2024-12-04-21:12:05,pointer <Lpoint> unsorted,10000000,numNeighSearch,Sphere,0.5,1000,5,0.074648,0.0149296,0.0148359,0.00212977,1
2024-12-04-21:12:05,pointer <Lpoint> unsorted,10000000,numNeighSearch,Circle,0.5,1000,5,0.13618,0.027236,0.0272644,0.000415326,1
2024-12-04-21:12:06,pointer <Lpoint> unsorted,10000000,numNeighSearch,Cube,0.5,1000,5,0.0870815,0.0174163,0.0178719,0.00106283,1
2024-12-04-21:12:06,pointer <Lpoint> unsorted,10000000,numNeighSearch,Square,0.5,1000,5,0.150202,0.0300405,0.0301473,0.000291594,1
2024-12-04-21:12:06,pointer <Lpoint> unsorted,10000000,numNeighSearch,Sphere,1,1000,5,0.250149,0.0500298,0.0493628,0.000915114,1
2024-12-04-21:12:06,pointer <Lpoint> unsorted,10000000,numNeighSearch,Circle,1,1000,5,0.337986,0.0675972,0.0675162,0.00117799,1
2024-12-04-21:12:07,pointer <Lpoint> unsorted,10000000,numNeighSearch,Cube,1,1000,5,0.255033,0.0510066,0.0502276,0.00228499,1
2024-12-04-21:12:07,pointer <Lpoint> unsorted,10000000,numNeighSearch,Square,1,1000,5,0.37065,0.0741301,0.0761168,0.00439404,1
2024-12-04-21:12:09,pointer <Lpoint> unsorted,10000000,numNeighSearch,Sphere,2.5,1000,5,1.25357,0.250715,0.249763,0.00822362,1
