date,octree,npoints,operation,kernel,radius,num_searches,repeats,accumulated,mean,median,stdev,used_warmup
2024-12-04-21:16:50,pointer <Lpoint> unsorted,10000000,neighSearch,Sphere,0.5,1000,5,0.254128,0.0508256,0.0507863,0.00124881,1
2024-12-04-21:16:51,pointer <Lpoint> unsorted,10000000,neighSearch,Circle,0.5,1000,5,0.534199,0.10684,0.105924,0.00164629,1
2024-12-04-21:16:51,pointer <Lpoint> unsorted,10000000,neighSearch,Cube,0.5,1000,5,0.239009,0.0478018,0.0503299,0.00458809,1
2024-12-04-21:16:52,pointer <Lpoint> unsorted,10000000,neighSearch,Square,0.5,1000,5,0.593437,0.118687,0.122358,0.0113494,1
2024-12-04-21:16:53,pointer <Lpoint> unsorted,10000000,neighSearch,Sphere,1,1000,5,0.755744,0.151149,0.151978,0.0077003,1
2024-12-04-21:16:55,pointer <Lpoint> unsorted,10000000,neighSearch,Circle,1,1000,5,1.31891,0.263782,0.261546,0.0105707,1
2024-12-04-21:16:55,pointer <Lpoint> unsorted,10000000,neighSearch,Cube,1,1000,5,0.670197,0.134039,0.133219,0.00522394,1
2024-12-04-21:16:57,pointer <Lpoint> unsorted,10000000,neighSearch,Square,1,1000,5,1.27893,0.255785,0.257294,0.00445808,1
2024-12-04-21:17:01,pointer <Lpoint> unsorted,10000000,neighSearch,Sphere,2.5,1000,5,3.3462,0.66924,0.660534,0.0155309,1
2024-12-04-21:17:06,pointer <Lpoint> unsorted,10000000,neighSearch,Circle,2.5,1000,5,4.2744,0.854879,0.873548,0.0478895,1
2024-12-04-21:17:10,pointer <Lpoint> unsorted,10000000,neighSearch,Cube,2.5,1000,5,3.53919,0.707837,0.703435,0.0148809,1
2024-12-04-21:17:16,pointer <Lpoint> unsorted,10000000,neighSearch,Square,2.5,1000,5,4.88935,0.977869,0.96795,0.0429668,1
2024-12-04-21:17:30,pointer <Lpoint> unsorted,10000000,neighSearch,Sphere,5,1000,5,11.2174,2.24348,2.19151,0.0763118,1
2024-12-04-21:17:45,pointer <Lpoint> unsorted,10000000,neighSearch,Circle,5,1000,5,12.7386,2.54772,2.54136,0.0394388,1
