date,octree,npoints,operation,kernel,radius,num_searches,repeats,accumulated,mean,median,stdev,used_warmup
2024-12-04-21:46:52,pointer <Lpoint> unsorted,721810646,neighSearch,Sphere,0.5,1000,5,0.537335,0.107467,0.106361,0.00223255,1
2024-12-04-21:46:55,pointer <Lpoint> unsorted,721810646,neighSearch,Circle,0.5,1000,5,2.44311,0.488622,0.485861,0.00819752,1
2024-12-04-21:46:56,pointer <Lpoint> unsorted,721810646,neighSearch,Cube,0.5,1000,5,0.522374,0.104475,0.10423,0.00127635,1
2024-12-04-21:46:58,pointer <Lpoint> unsorted,721810646,neighSearch,Square,0.5,1000,5,2.35561,0.471123,0.4698,0.0143457,1
2024-12-04-21:47:00,pointer <Lpoint> unsorted,721810646,neighSearch,Sphere,1,1000,5,1.61419,0.322837,0.323245,0.00261969,1
2024-12-04-21:47:08,pointer <Lpoint> unsorted,721810646,neighSearch,Circle,1,1000,5,6.0895,1.2179,1.21325,0.0246955,1
2024-12-04-21:47:10,pointer <Lpoint> unsorted,721810646,neighSearch,Cube,1,1000,5,1.67125,0.33425,0.333613,0.00316297,1
2024-12-04-21:47:17,pointer <Lpoint> unsorted,721810646,neighSearch,Square,1,1000,5,6.2485,1.2497,1.24907,0.015592,1
2024-12-04-21:47:29,pointer <Lpoint> unsorted,721810646,neighSearch,Sphere,2.5,1000,5,9.19574,1.83915,1.8432,0.0072813,1
2024-12-04-21:48:01,pointer <Lpoint> unsorted,721810646,neighSearch,Circle,2.5,1000,5,26.2156,5.24311,5.23568,0.0336614,1
2024-12-04-21:48:12,pointer <Lpoint> unsorted,721810646,neighSearch,Cube,2.5,1000,5,9.7036,1.94072,1.93433,0.0115824,1
2024-12-04-21:48:45,pointer <Lpoint> unsorted,721810646,neighSearch,Square,2.5,1000,5,27.326,5.4652,5.47501,0.0212002,1
2024-12-04-21:49:38,pointer <Lpoint> unsorted,721810646,neighSearch,Sphere,5,1000,5,44.1092,8.82184,8.83603,0.167326,1
2024-12-04-21:51:24,pointer <Lpoint> unsorted,721810646,neighSearch,Circle,5,1000,5,87.2738,17.4548,17.565,0.306326,1
