date,octree,npoints,operation,kernel,radius,num_searches,repeats,accumulated,mean,median,stdev,used_warmup
2024-12-04-13:15:27,pointer <Lpoint> unsorted,29697591,neighSearch,Sphere,0.1,1000,5,0.656626,0.131325,0.146569,0.0218207,1
2024-12-04-13:15:29,pointer <Lpoint> unsorted,29697591,neighSearch,Circle,0.1,1000,5,1.13595,0.227191,0.235025,0.0184398,1
2024-12-04-13:15:29,pointer <Lpoint> unsorted,29697591,neighSearch,Cube,0.1,1000,5,0.595317,0.119063,0.119134,0.00251096,1
2024-12-04-13:15:31,pointer <Lpoint> unsorted,29697591,neighSearch,Square,0.1,1000,5,0.970066,0.194013,0.194301,0.00941994,1
2024-12-04-13:15:33,pointer <Lpoint> unsorted,29697591,neighSearch,Sphere,0.2,1000,5,1.72236,0.344472,0.343457,0.00164006,1
2024-12-04-13:15:35,pointer <Lpoint> unsorted,29697591,neighSearch,Circle,0.2,1000,5,2.24142,0.448284,0.449406,0.0143504,1
2024-12-04-13:15:37,pointer <Lpoint> unsorted,29697591,neighSearch,Cube,0.2,1000,5,1.38444,0.276888,0.275268,0.0219001,1
2024-12-04-13:15:40,pointer <Lpoint> unsorted,29697591,neighSearch,Square,0.2,1000,5,2.23088,0.446176,0.445876,0.00469716,1
2024-12-04-13:15:46,pointer <Lpoint> unsorted,29697591,neighSearch,Sphere,0.5,1000,5,5.25815,1.05163,1.06176,0.0275557,1
2024-12-04-13:15:55,pointer <Lpoint> unsorted,29697591,neighSearch,Circle,0.5,1000,5,7.76514,1.55303,1.55061,0.0137514,1
2024-12-04-13:16:01,pointer <Lpoint> unsorted,29697591,neighSearch,Cube,0.5,1000,5,4.80976,0.961953,0.946932,0.0256763,1
2024-12-04-13:16:10,pointer <Lpoint> unsorted,29697591,neighSearch,Square,0.5,1000,5,7.58126,1.51625,1.5126,0.0482921,1
2024-12-04-13:16:27,pointer <Lpoint> unsorted,29697591,neighSearch,Sphere,1,1000,5,14.1315,2.8263,2.80487,0.090434,1
2024-12-04-13:16:54,pointer <Lpoint> unsorted,29697591,neighSearch,Circle,1,1000,5,21.8091,4.36182,4.3739,0.0603864,1
2024-12-04-13:17:10,pointer <Lpoint> unsorted,29697591,neighSearch,Cube,1,1000,5,13.8128,2.76256,2.76227,0.0639828,1
2024-12-04-13:17:36,pointer <Lpoint> unsorted,29697591,neighSearch,Square,1,1000,5,21.4799,4.29599,4.26715,0.0908893,1
2024-12-04-13:17:37,pointer <Lpoint> unsorted,29697591,numNeighSearch,Sphere,0.1,1000,5,0.423037,0.0846075,0.0852957,0.00367633,1
2024-12-04-13:17:38,pointer <Lpoint> unsorted,29697591,numNeighSearch,Circle,0.1,1000,5,0.791149,0.15823,0.16095,0.00411227,1
2024-12-04-13:17:38,pointer <Lpoint> unsorted,29697591,numNeighSearch,Cube,0.1,1000,5,0.411131,0.0822261,0.0816115,0.0014625,1
2024-12-04-13:17:39,pointer <Lpoint> unsorted,29697591,numNeighSearch,Square,0.1,1000,5,0.789718,0.157944,0.157927,0.00768707,1
2024-12-04-13:17:40,pointer <Lpoint> unsorted,29697591,numNeighSearch,Sphere,0.2,1000,5,1.18534,0.237067,0.239816,0.00745233,1
2024-12-04-13:17:43,pointer <Lpoint> unsorted,29697591,numNeighSearch,Circle,0.2,1000,5,1.83629,0.367258,0.360687,0.017327,1
2024-12-04-13:17:44,pointer <Lpoint> unsorted,29697591,numNeighSearch,Cube,0.2,1000,5,1.08911,0.217821,0.220005,0.00590193,1
2024-12-04-13:17:46,pointer <Lpoint> unsorted,29697591,numNeighSearch,Square,0.2,1000,5,1.79026,0.358052,0.353424,0.0120002,1
2024-12-04-13:17:51,pointer <Lpoint> unsorted,29697591,numNeighSearch,Sphere,0.5,1000,5,4.02224,0.804447,0.810838,0.0265156,1
2024-12-04-13:17:58,pointer <Lpoint> unsorted,29697591,numNeighSearch,Circle,0.5,1000,5,6.03208,1.20642,1.20108,0.0237129,1
2024-12-04-13:18:03,pointer <Lpoint> unsorted,29697591,numNeighSearch,Cube,0.5,1000,5,4.16813,0.833625,0.831089,0.0381726,1
2024-12-04-13:18:10,pointer <Lpoint> unsorted,29697591,numNeighSearch,Square,0.5,1000,5,6.17762,1.23552,1.2134,0.0432899,1
2024-12-04-13:18:24,pointer <Lpoint> unsorted,29697591,numNeighSearch,Sphere,1,1000,5,11.0145,2.20291,2.22907,0.0505994,1
