date,octree,npoints,operation,kernel,radius,num_searches,repeats,accumulated,mean,median,stdev,used_warmup
2024-12-04-14:10:20,pointer <Lpoint> unsorted,429615314,neighSearch,Sphere,0.1,1000,5,4.1863,0.837261,0.838967,0.02342,1
2024-12-04-14:10:53,pointer <Lpoint> unsorted,429615314,neighSearch,Circle,0.1,1000,5,27.6569,5.53138,5.55376,0.0708542,1
2024-12-04-14:10:57,pointer <Lpoint> unsorted,429615314,neighSearch,Cube,0.1,1000,5,3.79439,0.758877,0.771815,0.0380958,1
2024-12-04-14:11:30,pointer <Lpoint> unsorted,429615314,neighSearch,Square,0.1,1000,5,27.2676,5.45351,5.48415,0.108653,1
2024-12-04-14:11:42,pointer <Lpoint> unsorted,429615314,neighSearch,Sphere,0.2,1000,5,9.61737,1.92347,1.92558,0.0320866,1
2024-12-04-14:12:45,pointer <Lpoint> unsorted,429615314,neighSearch,Circle,0.2,1000,5,52.8037,10.5607,10.5638,0.123749,1
2024-12-04-14:12:57,pointer <Lpoint> unsorted,429615314,neighSearch,Cube,0.2,1000,5,9.55576,1.91115,1.92312,0.0789771,1
2024-12-04-14:14:01,pointer <Lpoint> unsorted,429615314,neighSearch,Square,0.2,1000,5,52.8981,10.5796,10.5876,0.223482,1
2024-12-04-14:14:52,pointer <Lpoint> unsorted,429615314,neighSearch,Sphere,0.5,1000,5,42.869,8.5738,8.55993,0.0472315,1
2024-12-04-14:18:08,pointer <Lpoint> unsorted,429615314,neighSearch,Circle,0.5,1000,5,163.132,32.6264,32.8814,0.339987,1
2024-12-04-14:18:57,pointer <Lpoint> unsorted,429615314,neighSearch,Cube,0.5,1000,5,41.2507,8.25014,8.23416,0.142306,1
2024-12-04-14:22:11,pointer <Lpoint> unsorted,429615314,neighSearch,Square,0.5,1000,5,160.766,32.1532,32.1762,0.0968008,1
2024-12-04-14:24:51,pointer <Lpoint> unsorted,429615314,neighSearch,Sphere,1,1000,5,133.711,26.7421,26.767,0.127793,1
2024-12-04-14:32:58,pointer <Lpoint> unsorted,429615314,neighSearch,Circle,1,1000,5,406.204,81.2407,80.823,2.62223,1
2024-12-04-14:35:41,pointer <Lpoint> unsorted,429615314,neighSearch,Cube,1,1000,5,135.853,27.1706,27.0732,0.136867,1
2024-12-04-14:43:57,pointer <Lpoint> unsorted,429615314,neighSearch,Square,1,1000,5,412.421,82.4842,82.539,0.395876,1
2024-12-04-14:44:01,pointer <Lpoint> unsorted,429615314,numNeighSearch,Sphere,0.1,1000,5,2.92013,0.584026,0.579867,0.0121098,1
2024-12-04-14:44:27,pointer <Lpoint> unsorted,429615314,numNeighSearch,Circle,0.1,1000,5,21.6417,4.32834,4.28647,0.101994,1
2024-12-04-14:44:30,pointer <Lpoint> unsorted,429615314,numNeighSearch,Cube,0.1,1000,5,2.95884,0.591767,0.594352,0.00849407,1
2024-12-04-14:44:56,pointer <Lpoint> unsorted,429615314,numNeighSearch,Square,0.1,1000,5,21.5578,4.31155,4.28089,0.0659012,1
2024-12-04-14:45:05,pointer <Lpoint> unsorted,429615314,numNeighSearch,Sphere,0.2,1000,5,7.76304,1.55261,1.54576,0.0164545,1
2024-12-04-14:45:57,pointer <Lpoint> unsorted,429615314,numNeighSearch,Circle,0.2,1000,5,42.8744,8.57488,8.50667,0.17547,1
2024-12-04-14:46:06,pointer <Lpoint> unsorted,429615314,numNeighSearch,Cube,0.2,1000,5,7.60008,1.52002,1.51754,0.0222916,1
2024-12-04-14:46:57,pointer <Lpoint> unsorted,429615314,numNeighSearch,Square,0.2,1000,5,42.4127,8.48255,8.43442,0.0981693,1
2024-12-04-14:47:38,pointer <Lpoint> unsorted,429615314,numNeighSearch,Sphere,0.5,1000,5,34.6135,6.9227,6.97535,0.0953675,1
2024-12-04-14:50:18,pointer <Lpoint> unsorted,429615314,numNeighSearch,Circle,0.5,1000,5,132.447,26.4893,26.4382,0.107025,1
2024-12-04-14:50:58,pointer <Lpoint> unsorted,429615314,numNeighSearch,Cube,0.5,1000,5,33.6729,6.73459,6.71895,0.0993153,1
2024-12-04-14:53:37,pointer <Lpoint> unsorted,429615314,numNeighSearch,Square,0.5,1000,5,132.096,26.4191,26.3927,0.358756,1
2024-12-04-14:55:46,pointer <Lpoint> unsorted,429615314,numNeighSearch,Sphere,1,1000,5,108.445,21.689,21.7527,0.306093,1
2024-12-04-15:02:16,pointer <Lpoint> unsorted,429615314,numNeighSearch,Circle,1,1000,5,324.577,64.9154,64.6704,1.19099,1
2024-12-04-15:04:29,pointer <Lpoint> unsorted,429615314,numNeighSearch,Cube,1,1000,5,111.058,22.2116,22.2709,0.0958937,1
2024-12-04-15:11:12,pointer <Lpoint> unsorted,429615314,numNeighSearch,Square,1,1000,5,335.962,67.1923,67.1886,0.270048,1
2024-12-04-15:15:24,linear <Lpoint> ,429615314,neighSearch,Sphere,0.1,1000,5,1.26964,0.253928,0.253906,0.000525007,1
2024-12-04-15:15:40,linear <Lpoint> ,429615314,neighSearch,Circle,0.1,1000,5,13.5053,2.70106,2.70187,0.0145208,1
2024-12-04-15:15:42,linear <Lpoint> ,429615314,neighSearch,Cube,0.1,1000,5,1.32119,0.264237,0.263661,0.00226297,1
2024-12-04-15:15:59,linear <Lpoint> ,429615314,neighSearch,Square,0.1,1000,5,13.8261,2.76523,2.76617,0.0188823,1
2024-12-04-15:16:05,linear <Lpoint> ,429615314,neighSearch,Sphere,0.2,1000,5,5.24347,1.04869,1.06637,0.0237263,1
2024-12-04-15:16:45,linear <Lpoint> ,429615314,neighSearch,Circle,0.2,1000,5,33.2894,6.65789,6.66493,0.0496379,1
2024-12-04-15:16:51,linear <Lpoint> ,429615314,neighSearch,Cube,0.2,1000,5,5.53816,1.10763,1.1019,0.0186119,1
2024-12-04-15:17:31,linear <Lpoint> ,429615314,neighSearch,Square,0.2,1000,5,33.0545,6.6109,6.60297,0.0634419,1
2024-12-04-15:18:06,linear <Lpoint> ,429615314,neighSearch,Sphere,0.5,1000,5,29.5641,5.91281,5.89406,0.0520252,1
2024-12-04-15:20:34,linear <Lpoint> ,429615314,neighSearch,Circle,0.5,1000,5,122.695,24.5391,24.5185,0.18247,1
2024-12-04-15:21:10,linear <Lpoint> ,429615314,neighSearch,Cube,0.5,1000,5,30.2665,6.05331,6.02678,0.0525518,1
2024-12-04-15:23:40,linear <Lpoint> ,429615314,neighSearch,Square,0.5,1000,5,125.136,25.0271,25.0155,0.0765538,1
2024-12-04-15:25:43,linear <Lpoint> ,429615314,neighSearch,Sphere,1,1000,5,101.837,20.3673,20.339,0.125842,1
2024-12-04-15:32:15,linear <Lpoint> ,429615314,neighSearch,Circle,1,1000,5,326.932,65.3864,64.9533,1.39799,1
2024-12-04-15:34:30,linear <Lpoint> ,429615314,neighSearch,Cube,1,1000,5,112.551,22.5102,22.5143,0.0643763,1
2024-12-04-15:41:18,linear <Lpoint> ,429615314,neighSearch,Square,1,1000,5,338.21,67.6421,67.428,0.57707,1
2024-12-04-15:41:19,linear <Lpoint> ,429615314,numNeighSearch,Sphere,0.1,1000,5,1.14885,0.229769,0.228531,0.00268834,1
2024-12-04-15:41:33,linear <Lpoint> ,429615314,numNeighSearch,Circle,0.1,1000,5,11.7396,2.34791,2.34991,0.0110889,1
2024-12-04-15:41:35,linear <Lpoint> ,429615314,numNeighSearch,Cube,0.1,1000,5,1.12169,0.224339,0.224392,0.000464148,1
2024-12-04-15:41:49,linear <Lpoint> ,429615314,numNeighSearch,Square,0.1,1000,5,11.7339,2.34679,2.35803,0.026783,1
2024-12-04-15:41:54,linear <Lpoint> ,429615314,numNeighSearch,Sphere,0.2,1000,5,4.28609,0.857218,0.86326,0.0115268,1
2024-12-04-15:42:27,linear <Lpoint> ,429615314,numNeighSearch,Circle,0.2,1000,5,27.6036,5.52072,5.51377,0.0817078,1
2024-12-04-15:42:32,linear <Lpoint> ,429615314,numNeighSearch,Cube,0.2,1000,5,4.33644,0.867287,0.860145,0.0252069,1
2024-12-04-15:43:05,linear <Lpoint> ,429615314,numNeighSearch,Square,0.2,1000,5,27.4883,5.49766,5.47286,0.0823753,1
2024-12-04-15:43:35,linear <Lpoint> ,429615314,numNeighSearch,Sphere,0.5,1000,5,25.1611,5.03223,5.05286,0.0476149,1
2024-12-04-15:45:42,linear <Lpoint> ,429615314,numNeighSearch,Circle,0.5,1000,5,105.815,21.163,21.0702,0.151793,1
2024-12-04-15:46:12,linear <Lpoint> ,429615314,numNeighSearch,Cube,0.5,1000,5,25.0924,5.01848,5.02306,0.024309,1
2024-12-04-15:48:19,linear <Lpoint> ,429615314,numNeighSearch,Square,0.5,1000,5,104.877,20.9753,20.8795,0.349634,1
2024-12-04-15:50:07,linear <Lpoint> ,429615314,numNeighSearch,Sphere,1,1000,5,90.3038,18.0608,18.0753,0.0932166,1
2024-12-04-15:55:45,linear <Lpoint> ,429615314,numNeighSearch,Circle,1,1000,5,282.059,56.4117,56.4826,0.246178,1
2024-12-04-15:57:33,linear <Lpoint> ,429615314,numNeighSearch,Cube,1,1000,5,90.1345,18.0269,18.0501,0.0852676,1
2024-12-04-16:03:18,linear <Lpoint> ,429615314,numNeighSearch,Square,1,1000,5,287.078,57.4155,57.647,0.395867,1
2024-12-04-16:04:31,pointer <Lpoint> sorted,429615314,neighSearch,Sphere,0.1,1000,5,2.74312,0.548625,0.547723,0.00839487,1
2024-12-04-16:04:55,pointer <Lpoint> sorted,429615314,neighSearch,Circle,0.1,1000,5,20.5282,4.10565,4.09079,0.0238528,1
2024-12-04-16:04:59,pointer <Lpoint> sorted,429615314,neighSearch,Cube,0.1,1000,5,2.95351,0.590702,0.589729,0.00507988,1
2024-12-04-16:05:24,pointer <Lpoint> sorted,429615314,neighSearch,Square,0.1,1000,5,20.9126,4.18253,4.1894,0.0685036,1
2024-12-04-16:05:33,pointer <Lpoint> sorted,429615314,neighSearch,Sphere,0.2,1000,5,7.70094,1.54019,1.53571,0.00914009,1
2024-12-04-16:06:25,pointer <Lpoint> sorted,429615314,neighSearch,Circle,0.2,1000,5,43.3317,8.66633,8.65358,0.0340555,1
2024-12-04-16:06:35,pointer <Lpoint> sorted,429615314,neighSearch,Cube,0.2,1000,5,8.3458,1.66916,1.66466,0.0497754,1
2024-12-04-16:07:27,pointer <Lpoint> sorted,429615314,neighSearch,Square,0.2,1000,5,43.5684,8.71369,8.71047,0.0409038,1
2024-12-04-16:08:08,pointer <Lpoint> sorted,429615314,neighSearch,Sphere,0.5,1000,5,33.8827,6.77654,6.76325,0.0177488,1
