date,octree,npoints,operation,kernel,radius,num_searches,repeats,accumulated,mean,median,stdev,used_warmup
2024-12-04-13:36:49,pointer <Lpoint> unsorted,50122464,neighSearch,Sphere,0.1,1000,5,0.371328,0.0742656,0.0758609,0.00622763,1
2024-12-04-13:36:51,pointer <Lpoint> unsorted,50122464,neighSearch,Circle,0.1,1000,5,1.07367,0.214734,0.205983,0.0181261,1
2024-12-04-13:36:51,pointer <Lpoint> unsorted,50122464,neighSearch,Cube,0.1,1000,5,0.293296,0.0586591,0.0601859,0.00406642,1
2024-12-04-13:36:52,pointer <Lpoint> unsorted,50122464,neighSearch,Square,0.1,1000,5,0.841258,0.168252,0.168687,0.00170658,1
2024-12-04-13:36:53,pointer <Lpoint> unsorted,50122464,neighSearch,Sphere,0.2,1000,5,0.78595,0.15719,0.155545,0.00292679,1
2024-12-04-13:36:55,pointer <Lpoint> unsorted,50122464,neighSearch,Circle,0.2,1000,5,1.92992,0.385984,0.388097,0.00889207,1
2024-12-04-13:36:56,pointer <Lpoint> unsorted,50122464,neighSearch,Cube,0.2,1000,5,0.689975,0.137995,0.135877,0.00903556,1
2024-12-04-13:36:58,pointer <Lpoint> unsorted,50122464,neighSearch,Square,0.2,1000,5,1.64285,0.328569,0.322058,0.00931707,1
2024-12-04-13:37:01,pointer <Lpoint> unsorted,50122464,neighSearch,Sphere,0.5,1000,5,2.53265,0.50653,0.522367,0.0279378,1
2024-12-04-13:37:07,pointer <Lpoint> unsorted,50122464,neighSearch,Circle,0.5,1000,5,4.75945,0.95189,0.951401,0.0127422,1
2024-12-04-13:37:10,pointer <Lpoint> unsorted,50122464,neighSearch,Cube,0.5,1000,5,2.47228,0.494456,0.503821,0.0204909,1
2024-12-04-13:37:16,pointer <Lpoint> unsorted,50122464,neighSearch,Square,0.5,1000,5,4.69953,0.939906,0.937782,0.00485182,1
2024-12-04-13:37:24,pointer <Lpoint> unsorted,50122464,neighSearch,Sphere,1,1000,5,7.28042,1.45608,1.45435,0.0138087,1
2024-12-04-13:37:39,pointer <Lpoint> unsorted,50122464,neighSearch,Circle,1,1000,5,12.3726,2.47452,2.48527,0.0145945,1
2024-12-04-13:37:48,pointer <Lpoint> unsorted,50122464,neighSearch,Cube,1,1000,5,7.47687,1.49537,1.46406,0.0406749,1
2024-12-04-13:38:03,pointer <Lpoint> unsorted,50122464,neighSearch,Square,1,1000,5,12.7073,2.54146,2.54323,0.0393172,1
2024-12-04-13:38:04,pointer <Lpoint> unsorted,50122464,numNeighSearch,Sphere,0.1,1000,5,0.200189,0.0400379,0.0396212,0.000860196,1
2024-12-04-13:38:04,pointer <Lpoint> unsorted,50122464,numNeighSearch,Circle,0.1,1000,5,0.66441,0.132882,0.132265,0.00410497,1
2024-12-04-13:38:05,pointer <Lpoint> unsorted,50122464,numNeighSearch,Cube,0.1,1000,5,0.188787,0.0377575,0.0376709,0.000582638,1
